Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Ratio;RatioSD
IEnumManyTakeMany;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"856,710.0 ns";"6,958.2858 ns";"6,508.7848 ns";"858,182.4 ns";1.58;0.06
IEnumManyTakeMany;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"532,876.5 ns";"10,536.6607 ns";"20,798.3403 ns";"531,352.9 ns";1.00;0.00
IEnumManyTakeManyNew;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"905,358.9 ns";"18,074.0355 ns";"43,994.7003 ns";"910,271.4 ns";1.76;0.11
IEnumManyTakeManyNew;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"508,517.8 ns";"10,083.7343 ns";"15,699.1595 ns";"512,470.9 ns";1.00;0.00
IListManyTakeMany;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"228,762.7 ns";"4,555.8672 ns";"9,408.6558 ns";"223,494.1 ns";1.10;0.04
IListManyTakeMany;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"216,514.5 ns";"2,112.6515 ns";"1,976.1755 ns";"217,136.4 ns";1.00;0.00
IListManyTakeManyNew;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"88,629.0 ns";"1,733.5731 ns";"2,749.6306 ns";"87,471.9 ns";12.70;0.53
IListManyTakeManyNew;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"7,041.0 ns";133.5575 ns;137.1537 ns;"6,997.3 ns";1.00;0.00
CustomManyTakeMany;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,178,310.2 ns";"23,370.6643 ns";"32,762.4073 ns";"1,163,912.2 ns";1.44;0.05
CustomManyTakeMany;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"826,218.8 ns";"16,033.5650 ns";"17,155.7349 ns";"832,957.2 ns";1.00;0.00
CustomManyTakeManyNew;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,171,370.6 ns";"11,086.3788 ns";"9,827.7860 ns";"1,171,756.2 ns";1.43;0.05
CustomManyTakeManyNew;Core;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"827,214.7 ns";"16,255.3747 ns";"26,249.4002 ns";"828,531.4 ns";1.00;0.00
IEnumManyTakeFew;Clr;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"814,891.2 ns";"2,579.6437 ns";"2,154.1193 ns";"814,596.8 ns";1.61;0.03
